idx, MFP
20, 1
23, 1
25, 9
29, 9
36, 9
38, 9
44, 9
57, 8
63, 9
81, 9
82, 9
91, 9
116, 9
131, 9
135, 9
160, 9
168, 9
180, 9
188, 9
192, 8
194, 9
207, 9
225, 9
233, 9
242, 1
263, 1
269, 1
271, 9
272, 9
280, 9
288, 1
295, 9
301, 1
307, 9
312, 9
326, 9
329, 9
337, 9
343, 7
348, 9
355, 9
376, 9
377, 1
378, 9
386, 1
387, 1
390, 9
430, 1
436, 9
441, 1
470, 9
482, 9
497, 9
513, 9
523, 9
528, 9
532, 9
547, 9
561, 9
563, 8
573, 1
575, 1
601, 1
604, 1
627, 9
641, 9
659, 8
664, 9
670, 9
697, 1
707, 9
717, 9
722, 9
734, 9
736, 9
742, 9
743, 9
757, 9
764, 9
767, 1
770, 9
778, 9
783, 1
786, 9
794, 9
797, 1
798, 9
803, 1
808, 9
810, 1
812, 1
826, 1
828, 9
849, 9
852, 1
873, 9
887, 9
888, 9
896, 9
897, 1
917, 9
920, 9
925, 9
928, 8
950, 9
978, 8
981, 9
988, 9
990, 9
997, 1
1026, 9
1030, 9
1038, 9
1044, 9
1048, 9
1050, 9
1051, 9
1059, 1
1063, 1
1087, 1
1096, 1
1100, 9
1119, 9
1121, 1
1127, 1
1131, 9
1145, 9
1146, 9
1147, 9
1158, 1
1167, 8
1170, 9
1181, 1
1198, 9
1222, 8
1256, 1
1259, 9
1267, 9
1270, 1
1296, 1
1300, 9
1313, 9
1318, 9
1340, 9
1349, 9
1353, 1
1368, 1
1375, 9
1386, 9
1397, 8
1418, 9
1424, 1
1445, 1
1453, 1
1457, 9
1468, 9
1469, 9
1488, 9
1500, 9
1516, 9
1526, 9
1535, 9
1539, 9
1545, 9
1548, 9
1549, 8
1555, 9
1559, 9
1580, 1
1583, 1
1586, 1
1596, 9
1602, 9
1604, 9
1605, 1
1631, 9
1635, 9
1636, 9
1643, 1
1644, 9
1651, 1
1655, 1
1656, 9
1662, 9
1663, 9
1671, 1
1674, 9
1679, 1
1680, 9
1689, 7
1716, 9
1731, 9
1734, 9
1735, 9
1748, 8
1752, 9
1756, 9
1760, 9
1761, 8
1771, 1
1786, 1
1794, 9
1801, 9
1813, 9
1819, 9
1823, 9
1836, 9
1838, 1
1844, 9
1855, 1
1858, 9
1861, 1
1865, 9
1872, 1
1880, 1
1883, 9
1894, 9
1897, 1
1907, 9
1914, 9
1916, 9
1920, 8
1941, 1
1946, 1
1962, 9
1971, 9
1985, 9
2001, 9
2010, 9
2039, 1
2041, 9
2046, 9
2062, 9
2065, 1
